t;Totalizador
2018-03-01 00:17:52.510000-03:00;362
2018-03-01 00:18:07.501000-03:00;362
2018-03-01 00:18:22.508000-03:00;363
2018-03-01 00:18:37.499000-03:00;363
2018-03-01 00:18:52.506000-03:00;364
2018-03-01 00:19:07.497000-03:00;364
2018-03-01 00:19:22.504000-03:00;365
2018-03-01 00:19:37.510000-03:00;365
2018-03-01 00:19:52.502000-03:00;365
2018-03-01 00:20:07.509000-03:00;366
2018-03-01 00:20:22.500000-03:00;366
2018-03-01 00:20:37.507000-03:00;367
2018-03-01 00:20:52.498000-03:00;367
2018-03-01 00:21:07.505000-03:00;368
2018-03-01 00:21:22.497000-03:00;368
2018-03-01 00:21:37.504000-03:00;369
2018-03-01 00:21:52.511000-03:00;369
2018-03-01 00:22:07.503000-03:00;370
2018-03-01 00:22:22.510000-03:00;370
2018-03-01 00:22:37.502000-03:00;371
2018-03-01 00:22:52.509000-03:00;371
2018-03-01 00:23:07.501000-03:00;371
2018-03-01 00:23:22.508000-03:00;372
2018-03-01 00:23:37.499000-03:00;372
2018-03-01 00:23:52.507000-03:00;373
2018-03-01 00:24:07.498000-03:00;373
2018-03-01 00:24:22.505000-03:00;374
2018-03-01 00:24:37.497000-03:00;374
2018-03-01 00:24:52.504000-03:00;375
2018-03-01 00:25:07.511000-03:00;375
2018-03-01 00:25:22.503000-03:00;376
2018-03-01 00:25:37.510000-03:00;376
2018-03-01 00:25:52.502000-03:00;376
2018-03-01 00:26:07.509000-03:00;377
2018-03-01 00:26:22.501000-03:00;377
2018-03-01 00:26:37.508000-03:00;378
2018-03-01 00:26:52.500000-03:00;378
2018-03-01 00:27:07.507000-03:00;379
2018-03-01 00:27:22.499000-03:00;379
2018-03-01 00:27:37.506000-03:00;380
2018-03-01 00:27:52.498000-03:00;380
2018-03-01 00:28:07.505000-03:00;381
2018-03-01 00:28:22.497000-03:00;381
2018-03-01 00:28:37.504000-03:00;382
2018-03-01 00:28:52.511000-03:00;382
2018-03-01 00:29:07.503000-03:00;382
2018-03-01 00:29:22.510000-03:00;383
2018-03-01 00:29:37.502000-03:00;383
2018-03-01 00:29:52.509000-03:00;384
2018-03-01 00:30:07.501000-03:00;384
2018-03-01 00:30:22.508000-03:00;385
2018-03-01 00:30:37.500000-03:00;385
2018-03-01 00:30:52.508000-03:00;386
2018-03-01 00:31:07.499000-03:00;386
2018-03-01 00:31:22.507000-03:00;387
2018-03-01 00:31:37.498000-03:00;387
2018-03-01 00:31:52.506000-03:00;388
2018-03-01 00:32:07.498000-03:00;388
2018-03-01 00:32:22.505000-03:00;388
2018-03-01 00:32:37.497000-03:00;389
2018-03-01 00:32:52.504000-03:00;389
2018-03-01 00:33:07.512000-03:00;390
2018-03-01 00:33:22.503000-03:00;390
2018-03-01 00:33:37.511000-03:00;391
2018-03-01 00:33:52.503000-03:00;391
2018-03-01 00:34:07.510000-03:00;392
2018-03-01 00:34:22.502000-03:00;392
2018-03-01 00:34:37.509000-03:00;393
2018-03-01 00:34:52.501000-03:00;393
2018-03-01 00:35:07.508000-03:00;393
2018-03-01 00:35:22.500000-03:00;394
2018-03-01 00:35:37.508000-03:00;394
2018-03-01 00:35:52.499000-03:00;395
2018-03-01 00:36:07.507000-03:00;395
2018-03-01 00:36:22.499000-03:00;396
2018-03-01 00:36:37.506000-03:00;396
2018-03-01 00:36:52.498000-03:00;397
2018-03-01 00:37:07.505000-03:00;397
2018-03-01 00:37:22.497000-03:00;398
2018-03-01 00:37:37.504000-03:00;398
2018-03-01 00:37:52.512000-03:00;398
2018-03-01 00:38:07.503000-03:00;399
2018-03-01 00:38:22.511000-03:00;399
2018-03-01 00:38:37.503000-03:00;400
2018-03-01 00:38:52.510000-03:00;400
2018-03-01 00:39:07.502000-03:00;401
2018-03-01 00:39:22.509000-03:00;401
2018-03-01 00:39:37.501000-03:00;402
2018-03-01 00:39:52.508000-03:00;402
2018-03-01 00:40:07.500000-03:00;403
2018-03-01 00:40:22.508000-03:00;403
2018-03-01 00:40:37.499000-03:00;404
2018-03-01 00:40:52.507000-03:00;404
2018-03-01 00:41:07.499000-03:00;404
2018-03-01 00:41:22.506000-03:00;405
2018-03-01 00:41:37.498000-03:00;405
2018-03-01 00:41:52.505000-03:00;406
2018-03-01 00:42:07.497000-03:00;406
2018-03-01 00:42:22.504000-03:00;407
2018-03-01 00:42:37.512000-03:00;407
2018-03-01 00:42:52.504000-03:00;408
2018-03-01 00:43:07.511000-03:00;408
2018-03-01 00:43:22.503000-03:00;409
2018-03-01 00:43:37.495000-03:00;409
2018-03-01 00:43:52.502000-03:00;409
2018-03-01 00:44:07.509000-03:00;410
2018-03-01 00:44:22.501000-03:00;410
2018-03-01 00:44:37.508000-03:00;411
2018-03-01 00:44:52.500000-03:00;411
2018-03-01 00:45:07.508000-03:00;412
2018-03-01 00:45:22.499000-03:00;412
2018-03-01 00:45:37.507000-03:00;413
2018-03-01 00:45:52.499000-03:00;413
2018-03-01 00:46:07.506000-03:00;414
2018-03-01 00:46:22.498000-03:00;414
2018-03-01 00:46:37.505000-03:00;415
2018-03-01 00:46:52.497000-03:00;415
2018-03-01 00:47:07.504000-03:00;415
2018-03-01 00:47:22.512000-03:00;416
2018-03-01 00:47:37.504000-03:00;416
2018-03-01 00:47:52.511000-03:00;417
2018-03-01 00:48:07.503000-03:00;417
2018-03-01 00:48:22.495000-03:00;418
2018-03-01 00:48:37.502000-03:00;418
2018-03-01 00:48:52.509000-03:00;419
2018-03-01 00:49:07.501000-03:00;419
2018-03-01 00:49:22.509000-03:00;420
2018-03-01 00:49:37.500000-03:00;420
2018-03-01 00:49:52.508000-03:00;420
2018-03-01 00:50:07.500000-03:00;421
2018-03-01 00:50:22.507000-03:00;421
2018-03-01 00:50:37.499000-03:00;422
2018-03-01 00:50:52.506000-03:00;422
2018-03-01 00:51:07.498000-03:00;423
2018-03-01 00:51:22.505000-03:00;423
2018-03-01 00:51:37.497000-03:00;424
2018-03-01 00:51:52.504000-03:00;424
2018-03-01 00:52:07.512000-03:00;425
2018-03-01 00:52:22.504000-03:00;425
2018-03-01 00:52:37.511000-03:00;426
2018-03-01 00:52:52.503000-03:00;426
2018-03-01 00:53:07.495000-03:00;426
2018-03-01 00:53:22.502000-03:00;427
2018-03-01 00:53:37.509000-03:00;427
2018-03-01 00:53:52.501000-03:00;428
2018-03-01 00:54:07.509000-03:00;428
2018-03-01 00:54:22.500000-03:00;429
2018-03-01 00:54:37.508000-03:00;429
2018-03-01 00:54:52.500000-03:00;430
2018-03-01 00:55:07.507000-03:00;430
2018-03-01 00:55:22.499000-03:00;431
2018-03-01 00:55:37.506000-03:00;431
2018-03-01 00:55:52.498000-03:00;431
2018-03-01 00:56:07.505000-03:00;432
2018-03-01 00:56:22.497000-03:00;432
2018-03-01 00:56:37.505000-03:00;433
2018-03-01 00:56:52.512000-03:00;433
2018-03-01 00:57:07.504000-03:00;434
2018-03-01 00:57:22.496000-03:00;434
2018-03-01 00:57:37.503000-03:00;435
2018-03-01 00:57:52.510000-03:00;435
2018-03-01 00:58:07.502000-03:00;436
2018-03-01 00:58:22.509000-03:00;436
2018-03-01 00:58:37.501000-03:00;437
2018-03-01 00:58:52.509000-03:00;437
2018-03-01 00:59:07.500000-03:00;437
2018-03-01 00:59:22.508000-03:00;438
2018-03-01 00:59:37.500000-03:00;438
2018-03-01 00:59:52.507000-03:00;439
2018-03-01 01:00:07.499000-03:00;439
2018-03-01 01:00:22.506000-03:00;440
2018-03-01 01:00:37.498000-03:00;440
2018-03-01 01:00:52.505000-03:00;441
2018-03-01 01:01:07.497000-03:00;441
2018-03-01 01:01:22.505000-03:00;442
2018-03-01 01:01:37.512000-03:00;442
2018-03-01 01:01:52.504000-03:00;443
2018-03-01 01:02:07.496000-03:00;443
2018-03-01 01:02:22.503000-03:00;443
2018-03-01 01:02:37.510000-03:00;444
2018-03-01 01:02:52.502000-03:00;444
2018-03-01 01:03:07.510000-03:00;445
2018-03-01 01:03:22.501000-03:00;445
2018-03-01 01:03:37.509000-03:00;446
2018-03-01 01:03:52.501000-03:00;446
2018-03-01 01:04:07.508000-03:00;447
2018-03-01 01:04:22.500000-03:00;447
2018-03-01 01:04:37.507000-03:00;448
2018-03-01 01:04:52.499000-03:00;448
2018-03-01 01:05:07.506000-03:00;448
2018-03-01 01:05:22.498000-03:00;449
2018-03-01 01:05:37.505000-03:00;449
2018-03-01 01:05:52.497000-03:00;450
2018-03-01 01:06:07.505000-03:00;450
2018-03-01 01:06:22.512000-03:00;451
2018-03-01 01:06:37.504000-03:00;451
2018-03-01 01:06:52.496000-03:00;452
2018-03-01 01:07:07.503000-03:00;452
2018-03-01 01:07:22.510000-03:00;453
2018-03-01 01:07:37.502000-03:00;453
2018-03-01 01:07:52.510000-03:00;453
2018-03-01 01:08:07.501000-03:00;454
2018-03-01 01:08:22.509000-03:00;454
2018-03-01 01:08:37.501000-03:00;455
2018-03-01 01:08:52.508000-03:00;455
2018-03-01 01:09:07.500000-03:00;456
2018-03-01 01:09:22.507000-03:00;456
2018-03-01 01:09:37.499000-03:00;457
2018-03-01 01:09:52.506000-03:00;457
2018-03-01 01:10:07.498000-03:00;458
2018-03-01 01:10:22.506000-03:00;458
2018-03-01 01:10:37.497000-03:00;459
2018-03-01 01:10:52.505000-03:00;459
2018-03-01 01:11:07.512000-03:00;459
2018-03-01 01:11:22.504000-03:00;460
2018-03-01 01:11:37.496000-03:00;460
2018-03-01 01:11:52.503000-03:00;461
2018-03-01 01:12:07.510000-03:00;461
2018-03-01 01:12:22.502000-03:00;462
2018-03-01 01:12:37.510000-03:00;462
2018-03-01 01:12:52.501000-03:00;463
2018-03-01 01:13:07.509000-03:00;463
2018-03-01 01:13:22.501000-03:00;464
2018-03-01 01:13:37.508000-03:00;464
2018-03-01 01:13:52.500000-03:00;464
2018-03-01 01:14:07.507000-03:00;465
2018-03-01 01:14:22.499000-03:00;465
2018-03-01 01:14:37.506000-03:00;466
2018-03-01 01:14:52.498000-03:00;466
2018-03-01 01:15:07.506000-03:00;467
2018-03-01 01:15:22.497000-03:00;467
2018-03-01 01:15:37.505000-03:00;468
2018-03-01 01:15:52.512000-03:00;468
2018-03-01 01:16:07.504000-03:00;469
2018-03-01 01:16:22.496000-03:00;469
2018-03-01 01:16:37.503000-03:00;470
2018-03-01 01:16:52.511000-03:00;470
2018-03-01 01:17:07.502000-03:00;470
2018-03-01 01:17:22.510000-03:00;471
2018-03-01 01:17:37.501000-03:00;471
2018-03-01 01:17:52.509000-03:00;472
2018-03-01 01:18:07.501000-03:00;472
2018-03-01 01:18:22.508000-03:00;473
2018-03-01 01:18:37.500000-03:00;473
2018-03-01 01:18:52.507000-03:00;474
2018-03-01 01:19:07.499000-03:00;474
2018-03-01 01:19:22.506000-03:00;475
2018-03-01 01:19:37.498000-03:00;475
2018-03-01 01:19:52.506000-03:00;475
2018-03-01 01:20:07.497000-03:00;476
2018-03-01 01:20:22.505000-03:00;476
2018-03-01 01:20:37.512000-03:00;477
2018-03-01 01:20:52.504000-03:00;477
2018-03-01 01:21:07.496000-03:00;478
2018-03-01 01:21:22.503000-03:00;478
2018-03-01 01:21:37.511000-03:00;479
2018-03-01 01:21:52.502000-03:00;479
2018-03-01 01:22:07.510000-03:00;480
2018-03-01 01:22:22.502000-03:00;480
2018-03-01 01:22:37.509000-03:00;481
2018-03-01 01:22:52.501000-03:00;481
2018-03-01 01:23:07.508000-03:00;481
2018-03-01 01:23:22.500000-03:00;482
2018-03-01 01:23:37.507000-03:00;482
2018-03-01 01:23:52.499000-03:00;483
2018-03-01 01:24:07.506000-03:00;483
2018-03-01 01:24:22.498000-03:00;484
2018-03-01 01:24:37.506000-03:00;484
2018-03-01 01:24:52.497000-03:00;485
2018-03-01 01:25:07.505000-03:00;485
2018-03-01 01:25:22.512000-03:00;486
2018-03-01 01:25:37.504000-03:00;486
2018-03-01 01:25:52.496000-03:00;486
2018-03-01 01:26:07.503000-03:00;487
2018-03-01 01:26:22.511000-03:00;487
2018-03-01 01:26:37.502000-03:00;488
2018-03-01 01:26:52.510000-03:00;488
2018-03-01 01:27:07.502000-03:00;489
2018-03-01 01:27:22.509000-03:00;489
2018-03-01 01:27:37.501000-03:00;490
2018-03-01 01:27:52.508000-03:00;490
2018-03-01 01:28:07.500000-03:00;491
2018-03-01 01:28:22.507000-03:00;491
2018-03-01 01:28:37.499000-03:00;492
2018-03-01 01:28:52.507000-03:00;492
2018-03-01 01:29:07.498000-03:00;492
2018-03-01 01:29:22.506000-03:00;493
2018-03-01 01:29:37.498000-03:00;493
2018-03-01 01:29:52.505000-03:00;494
2018-03-01 01:30:07.512000-03:00;494
2018-03-01 01:30:22.504000-03:00;495
2018-03-01 01:30:37.496000-03:00;495
2018-03-01 01:30:52.503000-03:00;496
2018-03-01 01:31:07.511000-03:00;496
2018-03-01 01:31:22.502000-03:00;497
2018-03-01 01:31:37.510000-03:00;497
2018-03-01 01:31:52.502000-03:00;497
2018-03-01 01:32:07.509000-03:00;498
2018-03-01 01:32:22.501000-03:00;498
2018-03-01 01:32:37.508000-03:00;499
2018-03-01 01:32:52.500000-03:00;499
2018-03-01 01:33:07.507000-03:00;500
2018-03-01 01:33:22.499000-03:00;500
2018-03-01 01:33:37.507000-03:00;501
2018-03-01 01:33:52.498000-03:00;501
2018-03-01 01:34:07.506000-03:00;502
2018-03-01 01:34:22.498000-03:00;502
2018-03-01 01:34:37.505000-03:00;503
2018-03-01 01:34:52.512000-03:00;503
2018-03-01 01:35:07.504000-03:00;503
2018-03-01 01:35:22.496000-03:00;504
2018-03-01 01:35:37.503000-03:00;504
2018-03-01 01:35:52.511000-03:00;505
2018-03-01 01:36:07.503000-03:00;505
2018-03-01 01:36:22.510000-03:00;506
2018-03-01 01:36:37.502000-03:00;506
2018-03-01 01:36:52.509000-03:00;507
2018-03-01 01:37:07.501000-03:00;507
2018-03-01 01:37:22.508000-03:00;508
2018-03-01 01:37:37.500000-03:00;508
2018-03-01 01:37:52.507000-03:00;508
2018-03-01 01:38:07.499000-03:00;509
2018-03-01 01:38:22.507000-03:00;509
2018-03-01 01:38:37.498000-03:00;510
2018-03-01 01:38:52.506000-03:00;510
2018-03-01 01:39:07.498000-03:00;511
2018-03-01 01:39:22.505000-03:00;511
2018-03-01 01:39:37.497000-03:00;512
2018-03-01 01:39:52.504000-03:00;512
2018-03-01 01:40:07.512000-03:00;513
2018-03-01 01:40:22.503000-03:00;513
2018-03-01 01:40:37.511000-03:00;514
2018-03-01 01:40:52.503000-03:00;514
2018-03-01 01:41:07.510000-03:00;514
2018-03-01 01:41:22.502000-03:00;515
2018-03-01 01:41:37.509000-03:00;515
2018-03-01 01:41:52.501000-03:00;516
2018-03-01 01:42:07.508000-03:00;516
2018-03-01 01:42:22.500000-03:00;517
2018-03-01 01:42:37.508000-03:00;517
2018-03-01 01:42:52.499000-03:00;518
2018-03-01 01:43:07.507000-03:00;518
2018-03-01 01:43:22.498000-03:00;519
2018-03-01 01:43:37.506000-03:00;519
2018-03-01 01:43:52.498000-03:00;519
2018-03-01 01:44:07.505000-03:00;520
2018-03-01 01:44:22.497000-03:00;520
2018-03-01 01:44:37.504000-03:00;521
2018-03-01 01:44:52.512000-03:00;521
2018-03-01 01:45:07.503000-03:00;522
2018-03-01 01:45:22.511000-03:00;522
2018-03-01 01:45:37.503000-03:00;523
2018-03-01 01:45:52.510000-03:00;523
2018-03-01 01:46:07.502000-03:00;524
2018-03-01 01:46:22.509000-03:00;524
2018-03-01 01:46:37.501000-03:00;525
2018-03-01 01:46:52.508000-03:00;525
2018-03-01 01:47:07.500000-03:00;525
2018-03-01 01:47:22.508000-03:00;526
2018-03-01 01:47:37.499000-03:00;526
2018-03-01 01:47:52.507000-03:00;527
2018-03-01 01:48:07.499000-03:00;527
2018-03-01 01:48:22.506000-03:00;528
2018-03-01 01:48:37.498000-03:00;528
2018-03-01 01:48:52.505000-03:00;529
2018-03-01 01:49:07.497000-03:00;529
2018-03-01 01:49:22.504000-03:00;530
2018-03-01 01:49:37.512000-03:00;530
2018-03-01 01:49:52.503000-03:00;530
2018-03-01 01:50:07.511000-03:00;531
2018-03-01 01:50:22.503000-03:00;531
2018-03-01 01:50:37.510000-03:00;532
2018-03-01 01:50:52.502000-03:00;532
2018-03-01 01:51:07.509000-03:00;533
2018-03-01 01:51:22.501000-03:00;533
2018-03-01 01:51:37.508000-03:00;534
2018-03-01 01:51:52.500000-03:00;534
2018-03-01 01:52:07.508000-03:00;535
2018-03-01 01:52:22.499000-03:00;535
2018-03-01 01:52:37.507000-03:00;536
2018-03-01 01:52:52.499000-03:00;536
2018-03-01 01:53:07.506000-03:00;536
2018-03-01 01:53:22.498000-03:00;537
2018-03-01 01:53:37.505000-03:00;537
2018-03-01 01:53:52.497000-03:00;538
2018-03-01 01:54:07.504000-03:00;538
2018-03-01 01:54:22.512000-03:00;539
2018-03-01 01:54:37.504000-03:00;539
2018-03-01 01:54:52.511000-03:00;540
2018-03-01 01:55:07.503000-03:00;540
2018-03-01 01:55:22.495000-03:00;541
2018-03-01 01:55:37.502000-03:00;541
2018-03-01 01:55:52.509000-03:00;541
2018-03-01 01:56:07.501000-03:00;542
2018-03-01 01:56:22.508000-03:00;542
2018-03-01 01:56:37.500000-03:00;543
2018-03-01 01:56:52.508000-03:00;543
2018-03-01 01:57:07.499000-03:00;544
2018-03-01 01:57:22.507000-03:00;544
2018-03-01 01:57:37.499000-03:00;545
2018-03-01 01:57:52.506000-03:00;545
2018-03-01 01:58:07.498000-03:00;546
2018-03-01 01:58:22.505000-03:00;546
2018-03-01 01:58:37.497000-03:00;547
2018-03-01 01:58:52.504000-03:00;547
2018-03-01 01:59:07.512000-03:00;547
2018-03-01 01:59:22.504000-03:00;548
2018-03-01 01:59:37.511000-03:00;548
2018-03-01 01:59:52.503000-03:00;549
2018-03-01 02:00:07.495000-03:00;549
2018-03-01 02:00:22.502000-03:00;550
2018-03-01 02:00:37.509000-03:00;550
2018-03-01 02:00:52.501000-03:00;551
2018-03-01 02:01:07.509000-03:00;551
2018-03-01 02:01:22.500000-03:00;552
2018-03-01 02:01:37.508000-03:00;552
2018-03-01 02:01:52.500000-03:00;552
2018-03-01 02:02:07.507000-03:00;553
2018-03-01 02:02:22.499000-03:00;553
2018-03-01 02:02:37.506000-03:00;554
2018-03-01 02:02:52.498000-03:00;554
2018-03-01 02:03:07.505000-03:00;555
2018-03-01 02:03:22.497000-03:00;555
2018-03-01 02:03:37.504000-03:00;556
2018-03-01 02:03:52.512000-03:00;556
2018-03-01 02:04:07.504000-03:00;557
2018-03-01 02:04:22.511000-03:00;557
2018-03-01 02:04:37.503000-03:00;558
2018-03-01 02:04:52.495000-03:00;558
2018-03-01 02:05:07.502000-03:00;558
2018-03-01 02:05:22.509000-03:00;559
2018-03-01 02:05:37.501000-03:00;559
2018-03-01 02:05:52.509000-03:00;560
2018-03-01 02:06:07.500000-03:00;560
2018-03-01 02:06:22.508000-03:00;561
2018-03-01 02:06:37.500000-03:00;561
2018-03-01 02:06:52.507000-03:00;562
2018-03-01 02:07:07.499000-03:00;562
2018-03-01 02:07:22.506000-03:00;563
2018-03-01 02:07:37.498000-03:00;563
2018-03-01 02:07:52.505000-03:00;563
2018-03-01 02:08:07.497000-03:00;564
2018-03-01 02:08:22.505000-03:00;564
2018-03-01 02:08:37.512000-03:00;565
2018-03-01 02:08:52.504000-03:00;565
2018-03-01 02:09:07.511000-03:00;566
2018-03-01 02:09:22.503000-03:00;566
2018-03-01 02:09:37.495000-03:00;567
2018-03-01 02:09:52.502000-03:00;567
2018-03-01 02:10:07.509000-03:00;568
2018-03-01 02:10:22.501000-03:00;568
2018-03-01 02:10:37.509000-03:00;569
2018-03-01 02:10:52.500000-03:00;569
2018-03-01 02:11:07.508000-03:00;569
2018-03-01 02:11:22.500000-03:00;570
2018-03-01 02:11:37.507000-03:00;570
2018-03-01 02:11:52.499000-03:00;571
2018-03-01 02:12:07.506000-03:00;571
2018-03-01 02:12:22.498000-03:00;572
2018-03-01 02:12:37.505000-03:00;572
2018-03-01 02:12:52.497000-03:00;573
2018-03-01 02:13:07.505000-03:00;573
2018-03-01 02:13:22.512000-03:00;574
2018-03-01 02:13:37.504000-03:00;574
2018-03-01 02:13:52.496000-03:00;574
2018-03-01 02:14:07.503000-03:00;575
2018-03-01 02:14:22.510000-03:00;575
2018-03-01 02:14:37.502000-03:00;576
2018-03-01 02:14:52.510000-03:00;576
2018-03-01 02:15:07.501000-03:00;577
2018-03-01 02:15:22.509000-03:00;577
2018-03-01 02:15:37.500000-03:00;578
2018-03-01 02:15:52.508000-03:00;578
2018-03-01 02:16:07.500000-03:00;579
2018-03-01 02:16:22.507000-03:00;579
2018-03-01 02:16:37.499000-03:00;580
2018-03-01 02:16:52.506000-03:00;580
2018-03-01 02:17:07.498000-03:00;580
2018-03-01 02:17:22.505000-03:00;581
2018-03-01 02:17:37.497000-03:00;581
2018-03-01 02:17:52.505000-03:00;582
2018-03-01 02:18:07.512000-03:00;582
2018-03-01 02:18:22.504000-03:00;583
2018-03-01 02:18:37.496000-03:00;583
2018-03-01 02:18:52.503000-03:00;584
2018-03-01 02:19:07.510000-03:00;584
2018-03-01 02:19:22.502000-03:00;585
2018-03-01 02:19:37.510000-03:00;585
2018-03-01 02:19:52.501000-03:00;585
2018-03-01 02:20:07.509000-03:00;586
2018-03-01 02:20:22.501000-03:00;586
2018-03-01 02:20:37.508000-03:00;587
2018-03-01 02:20:52.500000-03:00;587
2018-03-01 02:21:07.507000-03:00;588
2018-03-01 02:21:22.499000-03:00;588
2018-03-01 02:21:37.506000-03:00;589
2018-03-01 02:21:52.498000-03:00;589
2018-03-01 02:22:07.505000-03:00;590
2018-03-01 02:22:22.497000-03:00;590
2018-03-01 02:22:37.505000-03:00;591
2018-03-01 02:22:52.512000-03:00;591
2018-03-01 02:23:07.504000-03:00;591
2018-03-01 02:23:22.496000-03:00;592
2018-03-01 02:23:37.503000-03:00;592
2018-03-01 02:23:52.510000-03:00;593
2018-03-01 02:24:07.502000-03:00;593
2018-03-01 02:24:22.510000-03:00;594
2018-03-01 02:24:37.501000-03:00;594
2018-03-01 02:24:52.509000-03:00;595
2018-03-01 02:25:07.501000-03:00;595
2018-03-01 02:25:22.508000-03:00;596
2018-03-01 02:25:37.500000-03:00;596
2018-03-01 02:25:52.507000-03:00;597
2018-03-01 02:26:07.499000-03:00;597
2018-03-01 02:26:22.506000-03:00;597
2018-03-01 02:26:37.498000-03:00;598
2018-03-01 02:26:52.506000-03:00;598
2018-03-01 02:27:07.497000-03:00;599
2018-03-01 02:27:22.505000-03:00;599
2018-03-01 02:27:37.512000-03:00;600
2018-03-01 02:27:52.504000-03:00;600
2018-03-01 02:28:07.496000-03:00;601
2018-03-01 02:28:22.503000-03:00;601
2018-03-01 02:28:37.510000-03:00;602
2018-03-01 02:28:52.502000-03:00;602
2018-03-01 02:29:07.510000-03:00;602
2018-03-01 02:29:22.501000-03:00;603
2018-03-01 02:29:37.509000-03:00;603
2018-03-01 02:29:52.501000-03:00;604
2018-03-01 02:30:07.508000-03:00;604
2018-03-01 02:30:22.500000-03:00;605
2018-03-01 02:30:37.507000-03:00;605
2018-03-01 02:30:52.499000-03:00;606
2018-03-01 02:31:07.506000-03:00;606
2018-03-01 02:31:22.498000-03:00;607
2018-03-01 02:31:37.506000-03:00;607
2018-03-01 02:31:52.497000-03:00;607
2018-03-01 02:32:07.505000-03:00;608
2018-03-01 02:32:22.512000-03:00;608
2018-03-01 02:32:37.504000-03:00;609
2018-03-01 02:32:52.496000-03:00;609
2018-03-01 02:33:07.503000-03:00;610
2018-03-01 02:33:22.511000-03:00;610
2018-03-01 02:33:37.502000-03:00;611
2018-03-01 02:33:52.510000-03:00;611
2018-03-01 02:34:07.502000-03:00;612
2018-03-01 02:34:22.509000-03:00;612
2018-03-01 02:34:37.501000-03:00;613
2018-03-01 02:34:52.508000-03:00;613
2018-03-01 02:35:07.500000-03:00;613
2018-03-01 02:35:22.507000-03:00;614
2018-03-01 02:35:37.499000-03:00;614
2018-03-01 02:35:52.506000-03:00;615
2018-03-01 02:36:07.498000-03:00;615
2018-03-01 02:36:22.506000-03:00;616
2018-03-01 02:36:37.497000-03:00;616
2018-03-01 02:36:52.505000-03:00;617
2018-03-01 02:37:07.512000-03:00;617
2018-03-01 02:37:22.504000-03:00;618
2018-03-01 02:37:37.496000-03:00;618
2018-03-01 02:37:52.503000-03:00;618
2018-03-01 02:38:07.511000-03:00;619
2018-03-01 02:38:22.502000-03:00;619
2018-03-01 02:38:37.510000-03:00;620
